	SMALL LoBM LoOP	ME1 BM1 OP2	ME1 BM1 OP3	SMALL LoBM HiOP	ME1 BM2 OP1	ME1 BM2 OP2	ME1 BM2 OP3	ME1 BM2 OP4	ME1 BM3 OP1	ME1 BM3 OP2	ME1 BM3 OP3	ME1 BM3 OP4	SMALL HiBM LoOP	ME1 BM4 OP2	ME1 BM4 OP3	SMALL HiBM HiOP	BIG LoBM LoOP	ME2 BM1 OP2	ME2 BM1 OP3	BIG LoBM HiOP	ME2 BM2 OP1	ME2 BM2 OP2	ME2 BM2 OP3	ME2 BM2 OP4	ME2 BM3 OP1	ME2 BM3 OP2	ME2 BM3 OP3	ME2 BM3 OP4	BIG HiBM LoOP	ME2 BM4 OP2	ME2 BM4 OP3	BIG HiBM HiOP
200106	4.7567	9.4160	2.0873	7.2860	4.5384	5.2592	5.8871	3.6818	2.9079	5.9857	4.0781	1.7744	-0.5878	3.3494	-0.2074	3.6031	-1.0418	-0.7001	-0.9453	-3.4333	-6.7728	-1.7646	-0.7449	-3.5394	-2.8117	0.7820	-0.7164	-0.5888	-1.3986	-3.0939	0.4951	1.5478
200107	-14.4656	-9.1182	-4.4592	-2.6409	-9.4913	-1.8149	-0.7483	-0.1357	-4.5360	0.0263	3.4291	4.7589	-6.1141	0.8401	-1.4064	7.0604	-8.0906	-7.2531	5.2046	-0.1503	-8.4953	1.8307	-1.8607	0.6452	-4.4262	-0.4861	1.8313	1.0454	-1.9151	0.9120	0.0807	0.9982
200108	-10.1193	-7.2517	-1.7422	-3.6582	-8.6106	0.3106	0.1567	-2.8722	-5.1298	0.4387	0.3960	-0.3896	-2.0994	1.4670	-3.3374	1.1790	-11.5516	-11.4146	-7.2522	-4.8046	-9.7834	-4.7235	-4.4155	-2.9706	-4.0845	-3.4746	-2.6481	-6.5245	-6.8389	-1.2530	-4.9358	-7.1426
200109	-20.7621	-15.3203	-13.0261	-14.6381	-17.3745	-10.7566	-9.4806	-12.8938	-14.5550	-11.1118	-12.7150	-16.6983	-16.0912	-14.6254	-16.1282	-17.0615	-18.7245	-12.5996	-9.9419	-2.8425	-12.4511	-7.7173	-6.2570	-15.7203	-7.8865	-13.3741	-8.5891	-12.4421	-7.8449	-9.3994	-9.4084	-17.6509
200110	14.7359	10.4971	6.9293	7.2774	7.8132	1.8555	1.8041	6.5494	6.5650	1.5872	5.1687	1.1678	6.7545	4.8549	-0.3790	10.9995	15.2000	5.8839	5.7516	0.0592	3.5284	1.3350	1.4155	2.2779	-1.3031	0.5996	-1.1296	0.7158	-2.2635	-0.5262	1.9601	1.0984
200111	11.1083	8.6743	6.8372	7.1323	11.5055	6.1411	5.7400	4.7772	11.0867	7.0819	6.6754	9.1847	11.6238	9.6150	6.1548	8.7394	11.5189	11.5024	11.7103	5.4639	7.0057	7.7784	4.3164	7.7081	7.5726	7.2525	6.8678	8.5247	8.5522	7.1638	6.7338	14.7983
200112	7.2627	7.0576	5.4663	6.6867	7.4424	7.4476	6.0264	7.0655	7.1088	5.3081	5.7054	7.5285	8.0384	6.4900	10.6345	5.9349	-4.3560	0.9327	0.3770	0.3377	-0.8264	3.4532	3.3552	6.1278	2.3263	1.5065	4.6980	3.1333	3.4112	5.4501	0.9394	1.5151
200201	-8.2389	-4.1241	-1.6184	0.4083	-1.6472	1.7230	1.6628	1.7653	1.7098	2.7124	3.4075	5.9430	2.4990	2.5202	8.8133	11.5232	-6.0001	-2.6754	2.6657	-0.5488	-3.8201	-0.6867	-0.8920	-2.7817	-3.1372	0.6768	-0.3146	-3.4779	-4.1885	2.5842	-1.1124	5.0898
200202	-15.0235	-6.7510	-2.0033	-0.2476	-7.4950	1.3313	2.9486	1.6656	-3.1626	1.4028	0.2859	1.5684	-5.0414	-1.1604	2.9885	4.3582	-13.8142	-6.2658	-2.5336	0.0913	-5.8664	-0.4327	1.5218	0.9899	1.8750	1.7798	0.6433	1.8016	-2.8427	-0.1188	-7.0195	4.3631
200203	8.6283	11.8032	6.9796	8.3392	9.4699	6.8143	6.5628	8.7417	9.1380	8.0304	10.2489	9.7195	9.8139	9.5635	17.8353	15.3697	8.6129	3.5772	4.2028	0.6906	8.4784	5.5855	5.9349	5.1892	5.1671	4.6281	8.8972	7.1709	1.8780	5.7981	10.2633	6.4602
